Rank,Name,Pos,Team,Region,Seed,Games,Points,Rebs,Asts,Stls,Turns,Blocks,Per Gm Prj,Prj Scr,ADP,Sal
1,Zach Edey,C,PURD,East,1,33,22.3,12.82,1.55,0.24,2.27,2.09,22.3,111.52,1.8,0
2,Jalen Wilson,F,KANS,West,1,34,20.09,8.41,2.29,1,2.38,0.5,20.09,100.44,2.6,0
3,Brandon Miller,F,ALA,South,1,34,19.65,8.29,2.06,0.94,2.09,0.85,19.65,98.24,2.43,0
4,Azuolas Tubelis,F,ARIZ,South,2,34,19.76,9.26,2.03,1.06,2.29,0.68,19.76,79.06,4.82,0
5,Marcus Sasser,G,HOU,Midwest,1,33,17.06,2.85,3.18,1.7,1.64,0.18,14.5,72.51,8.94,0
6,Gradey Dick,G,KANS,West,1,34,14.15,4.91,1.59,1.44,1.26,0.26,14.15,70.74,8.73,0
7,Jaime Jaquez,G,UCLA,West,2,34,17.32,8.15,2.32,1.44,1.85,0.62,17.32,69.29,6.81,0
8,Marcus Carr,G,TX,Midwest,2,34,15.88,3.03,4.06,1.76,1.47,0.03,15.88,63.53,11.89,0
9,Mark Sears,G,ALA,South,1,34,12.53,3.38,2.59,1.18,1.97,0.09,12.53,62.65,15.08,0
10,Drew Timme,F,GONZ,West,3,33,20.88,7.33,3.18,0.7,2.58,0.91,20.88,62.64,9,0
11,Trayce Jackson-Davis,F,IND,Midwest,4,30,20.77,10.9,4.1,0.87,2.6,2.73,20.77,62.3,9.64,0
12,Kam Jones,G,MARQ,East,2,34,14.97,3.53,2.03,1.41,1,0.15,14.97,59.88,18.59,0
13,Oumar Ballo,C,ARIZ,South,2,34,14.21,8.53,1.62,0.74,1.88,1.32,14.21,56.82,14.39,0
14,Jarace Walker,F,HOU,Midwest,1,33,11.06,6.61,1.73,1.03,1.48,1.03,11.06,55.3,15.74,0
15,Fletcher Loyer,G,PURD,East,1,34,10.91,1.71,2.47,0.59,1.18,0.06,10.91,54.56,31.07,0
16,Tyger Campbell,G,UCLA,West,2,34,13.62,2.59,4.71,1.21,1.62,0,13.62,54.47,21.11,0
17,Kevin McCullar,G,KANS,West,1,32,10.66,7.06,2.31,2.03,2.09,0.69,10.66,53.28,20.16,0
18,Tyler Kolek,G,MARQ,East,2,34,13.26,4.18,7.68,1.82,2.38,0.15,13.26,53.06,16.2,0
19,Keyontae Johnson,F,KSU,East,3,32,17.66,7.03,2.19,1.13,3.06,0.19,17.66,52.97,23,0
20,KJ Adams,F,KANS,West,1,34,10.38,4.38,1.97,0.74,1.62,0.79,10.38,51.91,30.08,0
21,J'wan Roberts,F,HOU,Midwest,1,34,10.35,7.76,1.09,0.76,1,1.26,10.35,51.76,20.83,0
22,Jamal Shead,G,HOU,Midwest,1,34,10.32,3.03,5.41,1.79,1.94,0.18,10.32,51.62,23.01,0
23,Noah Clowney,F,ALA,South,1,33,10.12,8,0.88,0.55,1.3,1.03,10.12,50.61,20.98,0
24,Markquis Nowell,G,KSU,East,3,32,16.84,3.5,7.59,2.38,3.63,0.06,16.84,50.53,27.1,0
25,Adama Sanogo,F,CONN,West,4,33,16.76,7.27,1.27,0.82,1.94,0.73,16.76,50.27,22.58,0
26,Sir'Jabari Rice,G,TX,Midwest,2,34,12.56,3.62,2.06,0.85,1.56,0.38,12.56,50.24,28.31,0
27,Olivier-Maxence Prosper,F,MARQ,East,2,34,12.44,4.65,0.71,0.94,1.47,0.15,12.44,49.76,36.44,0
28,Souley Boum,G,XAV,Midwest,3,34,16.53,4.29,4.38,1.03,1.91,0.12,16.53,49.59,30.78,0
29,Braden Smith,G,PURD,East,1,34,9.79,4.24,4.32,1.21,1.82,0.18,9.79,48.97,34.16,0
30,Tramon Mark,G,HOU,Midwest,1,34,9.74,4.74,1.91,1.06,1.18,0.44,9.74,48.68,37.81,0
31,Jordan Hawkins,G,CONN,West,4,31,16.13,3.9,1.35,0.77,1.39,0.55,16.13,48.39,32.81,0
32,Keyonte George,G,BAY,South,3,31,15.81,4.23,2.81,1.1,3,0.16,15.81,47.42,34.64,0
33,Adam Flagler,G,BAY,South,3,30,15.53,2.5,4.73,1.27,1.73,0.07,15.53,46.6,36.3,0
34,Colby Jones,G,XAV,Midwest,3,33,15.24,5.42,4.27,1.39,2.33,0.52,15.24,45.73,36.24,0
35,Oso Ighodaro,F,MARQ,East,2,34,11.41,5.94,3.24,0.94,1.65,1.56,11.41,45.65,35.31,0
36,Julian Strawther,G,GONZ,West,3,33,15.12,5.94,1.3,0.91,1.48,0.42,15.12,45.36,29.1,0
37,Dajuan Harris,G,KANS,West,1,34,8.74,2.44,6.24,2.12,1.94,0.44,8.74,43.68,36.01,0
38,LJ Cryer,G,BAY,South,3,29,14.48,2.14,2.1,0.52,1.62,0.03,14.48,43.45,46.38,0
39,Courtney Ramey,G,ARIZ,South,2,31,10.61,3.84,3.55,1.1,1.65,0.06,10.61,42.45,40.85,0
40,Jack Nunge,F,XAV,Midwest,3,34,14.15,7.76,2.06,0.88,1.32,1.15,14.15,42.44,42.04,0
41,Amari Bailey,G,UCLA,West,2,27,10.56,3.74,1.96,1.07,2.41,0.33,10.56,42.22,44.89,0
42,Tyrese Hunter,G,TX,Midwest,2,34,10.24,2.91,2.5,0.85,1.82,0.12,10.24,40.94,47.37,0
43,Pelle Larsson,G,ARIZ,South,2,34,10.18,4.29,3.09,0.82,1.76,0.24,10.18,40.71,48.07,0
44,Jahvon Quinerly,G,ALA,South,1,32,8.13,1.91,3.75,0.66,2.13,0,8.13,40.63,44.99,0
45,Jalen Hood-Schifino,G,IND,Midwest,4,30,13.5,4.1,3.7,0.83,2.8,0.23,13.5,40.5,47.04,0
46,Kerr Kriisa,G,ARIZ,South,2,34,10.12,2.41,5.24,0.59,2.56,0.03,10.12,40.47,51.75,0
47,Santiago Vescovi,G,TENN,East,4,30,12.93,4.63,2.97,1.83,1.53,0.07,12.93,38.8,54.13,0
48,Armaan Franklin,G,UVA,South,4,32,12.53,4.16,1.44,0.94,0.97,0.38,12.53,37.59,54.14,0
49,David Joplin,F,MARQ,East,2,34,9.32,3.32,0.76,0.65,1.29,0.32,9.32,37.29,67.7,0
50,David Singleton,G,UCLA,West,2,34,9.12,2.68,1.06,1.12,0.5,0.18,9.12,36.47,66.03,0
51,Jayden Gardner,F,UVA,South,4,32,12.13,5.78,0.69,0.91,0.97,0.47,12.13,36.38,59.54,0
52,Jaden Bradley,G,ALA,South,1,34,6.85,2.74,3.15,0.53,1.88,0.09,6.85,34.26,65.46,0
53,Anton Watson,F,GONZ,West,3,33,11.33,5.82,2.36,1.85,1.09,0.64,11.33,34,47.17,0
54,Mason Gillis,F,PURD,East,1,31,6.71,3.71,1.23,0.48,0.97,0.06,6.71,33.55,68.88,0
55,Kendric Davis,G,MEMP,East,8,33,22.06,3.73,5.58,2,3.12,0.18,22.06,33.09,38.32,0
56,Cedric Henderson,G,ARIZ,South,2,34,8.26,3.47,1.12,0.76,1.26,0.44,8.26,33.06,75.91,0
57,Dylan Disu,F,TX,Midwest,2,33,8.27,4.15,1.06,0.64,1.24,1.36,8.27,33.09,63.72,0
58,Kihei Clark,G,UVA,South,4,32,10.91,2.63,5.44,1.06,1.97,0.13,10.91,32.72,71.46,0
59,Olivier Nkamhoua,F,TENN,East,4,33,10.58,5.03,2,0.45,1.73,0.64,10.58,31.73,77.39,0
60,Adam Kunkel,G,XAV,Midwest,3,32,10.5,2.72,2.97,1.03,1.72,0.16,10.5,31.5,79.82,0
61,Rasir Bolton,G,GONZ,West,3,33,10.39,1.94,2.61,0.82,1.09,0.12,10.39,31.18,69.79,0
62,Rylan Griffen,G,ALA,South,1,34,6.18,2.62,0.74,0.62,0.82,0.12,6.18,30.88,92.42,0
63,Jalen Bridges,F,BAY,South,3,32,10.28,5.75,1.06,0.88,1.03,1.03,10.28,30.84,68.94,0
64,Brandon Newman,G,PURD,East,1,34,6.12,3.12,1.06,0.53,1,0.32,6.12,30.59,90.59,0
65,Josiah-Jordan James,G,TENN,East,4,21,10.19,4.67,1.67,1.1,1.1,0.1,10.19,30.57,87.08,0
66,Tristen Newton,G,CONN,West,4,33,10.15,4.24,4.61,1.18,2.3,0.27,10.15,30.45,71.73,0
67,Kris Murray,F,IOWA,Midwest,8,28,20.39,7.89,2.04,1,1.54,1.18,20.39,30.59,49.83,0
68,Nae'Qwan Tomlin,F,KSU,East,3,32,10.16,5.97,1.22,1.16,1.28,0.84,10.16,30.47,74.23,0
69,Adem Bona,F,UCLA,West,2,33,7.55,5.24,0.73,0.58,1.27,1.67,7.55,30.18,69.48,0
70,Charles Bediako,C,ALA,South,1,34,6.15,5.79,0.68,0.62,0.79,1.79,6.15,30.74,67.45,0
71,Mike Miles,G,TCU,West,6,25,17.28,2.76,2.6,1.2,2.76,0.2,17.28,29.38,59.1,0
72,Alex Karaban,F,CONN,West,4,33,9.67,4.33,1.79,0.55,1.12,0.67,9.67,29,90,0
